Name,organizationId,appId,Status,Status Time
Aldrete Roofing and Construction,surefire-local,aldrete-roofing-and-construction,Ready for Install,2022-11-30T16:14:33.458Z
Alexandria DUI Lawyer,surefire-local,alexandria-dui-lawyer,Live,2023-02-15T16:39:09.992Z
All American Roofing,surefire-local,all-american-roofing,Live,2022-11-30T16:14:39.214Z
All City Contracting,surefire-local,all-city-contracting,Ready for Install,2022-11-30T16:14:49.112Z
All Dry Services of North Tampa Bay,surefire-local,all-dry-services-of-north-tampa-bay,Ready for Install,2023-03-08T00:58:12.919Z
All Dry Services of The Jersey Shore,surefire-local,all-dry-services-of-the-jersey-shore,Ready for Install,2023-03-14T21:55:54.358Z
All Good Egress,surefire-local,all-good-egress,Ready for Install,2022-11-30T16:14:51.945Z
All Oklahoma Roofing & Construction,surefire-local,all-oklahoma-roofing-and-construction,Cancelled,2023-03-14T02:06:51.995Z
All Pro Glass and Screen,surefire-local,all-pro-glass-and-screen,Ready for Install,2023-02-17T18:18:27.726Z
"All Pro Heating AC Plumbing, LLC",surefire-local,all-pro-heating-ac-plumbing-llc,Ready for Install,2023-01-09T18:52:53.578Z
 All Pro Home Improvements,surefire-local,all-pro-home-improvements,Cancelled,2023-03-13T20:51:00.430Z
All Seasons Contractor LLC,surefire-local,all-seasons-contractor-llc,Live,2022-10-31T14:11:21.066Z
All Seasons Heating and Climate Control,surefire-local,all-seasons-heating-and-climate-control-077jo,Ready for Install,2023-01-26T18:42:06.648Z
"All-Side Roofing and Restoration, LLC",surefire-local,all-side-roofing-and-restoration-llc,Live,2022-11-30T16:15:20.195Z
All Weather Exteriors LLC,surefire-local,all-weather-exteriors-llc,Ready for Install,2022-11-30T16:15:24.995Z
All Weather Heating & Air Conditioning,surefire-local,all-weather-heating-and-air-conditioning,Ready for Install,2022-11-30T16:15:28.147Z
All Weather Roofing & Construction LLC,surefire-local,all-weather-roofing-and-construction-llc,Ready for Install,2023-03-03T17:27:44.396Z
"All Weather Roofing Restoration, LLC",surefire-local,all-weather-roofing-restoration-llc,Live,2022-11-30T16:15:33.077Z
"Allegiant Roofing, LLC",surefire-local,allegiant-roofing-llc,Ready for Install,2023-03-09T15:11:32.740Z
"Alliance Air and Heat, LLC",surefire-local,alliance-air-and-heat-llc,Ready for Install,2022-11-30T16:15:42.417Z
Alliance Roofing & Construction of Texas,surefire-local,alliance-roofing-and-construction-of-texas,Live,2022-11-30T16:15:49.232Z
Allied Precision Roofing and Contractors LLC,surefire-local,allied-precision-roofing-and-contractors-llc-kh4yy,Live,2022-12-20T15:40:57.134Z
Allphase Construction & Roofing,surefire-local,allphase-construction-and-roofing,Cancelled,2023-03-14T02:08:33.018Z
AllPoint Construction,surefire-local,allpoint-construction-kmjpo,Live,2022-11-30T16:16:05.595Z
Alltech HVAC Inc,surefire-local,alltech-hvac-inc,Live,2022-11-30T16:16:11.301Z
Alpha Home Services LLC,surefire-local,alpha-home-services-llc,Live,2022-11-30T16:16:16.016Z
"Alpha Roofing, LLC",surefire-local,alpha-roofing-llc,Live,2022-11-30T16:16:24.397Z
Alta Builders,surefire-local,alta-builders,Ready for Install,2022-11-30T16:16:29.575Z
Alta Vista Plumbing,surefire-local,alta-vista-plumbing,Live,2022-11-30T16:16:33.903Z
Altitude Roofing,surefire-local,altitude-roofing,Cancelled,2023-03-14T02:09:59.602Z
"American Accu-Roof Systems, LLC",surefire-local,american-accu-roof-systems-llc,Submitted for Review,2023-03-07T17:33:19.675Z
American Junk Removal LLC,surefire-local,american-junk-removal-llc,Live,2022-11-30T16:16:43.995Z
American Reliable Windows & Doors,surefire-local,american-reliable-windows-and-doors-auwvj,Cancelled,2023-03-14T18:32:06.193Z
American Roof Professional & Restoration,surefire-local,american-roof-professional-and-restoration,Live,2022-11-30T16:16:53.810Z
"American Roofing & Construction, LLC",surefire-local,american-roofing-and-construction-llc,Live,2022-11-30T16:16:59.261Z
"American Roofing & Rain Gutters, Inc.",surefire-local,american-roofing-and-rain-gutters-inc,Ready for Install,2023-03-08T20:09:49.437Z
American Star Total Comfort,surefire-local,american-star-total-comfort,Ready for Install,2022-11-30T16:17:08.364Z
Americanstruction,surefire-local,americanstruction,Live,2023-02-28T14:56:24.294Z
AmeriServe,surefire-local,ameriserve,Live,2022-11-30T16:17:14.939Z
AmeriServe Inc.,surefire-local,ameriserve-inc,Live,2022-11-30T16:17:21.393Z
Ameritex Roofing,surefire-local,ameritex-roofing,Ready for Install,2022-11-30T16:17:29.383Z
AmeriTint Window Replacement and Installation,surefire-local,ameritint-window-replacement-and-installation,Live,2022-11-30T16:17:36.719Z
Amistad Insurance LLC,surefire-local,amistad-insurance-llc,Live,2022-11-30T16:17:45.042Z
Amos Roofing,surefire-local,amos-roofing,Cancelled,2023-03-14T18:35:54.896Z
A.M.S Gutters,surefire-local,ams-gutters,Cancelled,2023-02-23T15:31:30.862Z
Ancient City Movers Inc,surefire-local,ancient-city-movers-inc,Ready for Install,2023-02-02T04:44:37.333Z
Anderson Bit Service,surefire-local,anderson-bit-service,Cancelled,2023-03-14T18:47:08.812Z
Anderson Restoration,surefire-local,anderson-restoration,Ready for Install,2022-11-30T16:18:12.577Z
Anderson Roofing,surefire-local,anderson-roofing-vqmvy,Live,2023-01-30T18:03:07.122Z
Andrew Muncey's Home Repair,surefire-local,andrew-munceys-home-repair,Ready for Install,2023-03-08T22:44:29.774Z
Angel Roofing,surefire-local,angel-roofing,Ready for Install,2023-02-24T15:34:55.049Z
"Angley & Angley, Attorneys at Law",surefire-local,angley-and-angley-attorneys-at-law,Ready for Install,2022-11-30T16:18:15.781Z
Annee & Bartram Heating & Cooling,surefire-local,annee-and-bartram-heating-and-cooling,Live,2022-11-30T16:18:25.983Z
Apex Energy,surefire-local,apex-energy,Live,2022-11-30T16:18:31.398Z
"APR Roofing, Inc",surefire-local,apr-roofing-inc-qzist,Live,2022-11-30T16:18:39.139Z
AQ Roofing LLC,surefire-local,aq-roofing-llc,Live,2022-11-30T16:18:43.991Z
Arbor Breeze Heating & Cooling,surefire-local,arbor-breeze-heating-and-cooling,Ready for Install,2022-11-30T16:18:48.076Z
Arch Exteriors,surefire-local,arch-exteriors,Ready for Install,2022-11-30T16:18:51.711Z
Arctic Air Company,surefire-local,arctic-air-company,Live,2022-09-20T21:10:19.918Z
Arizona Roofing Systems,surefire-local,arizona-roofing-systems,Live,2022-11-30T16:18:59.567Z
Armadas Exterior LLC,surefire-local,armadas-exterior-llc,Live,2022-11-30T16:19:05.293Z
Art Of Moving LLC,surefire-local,art-of-moving-llc,Ready for Install,2022-11-30T16:19:11.203Z
Artin Development,surefire-local,artin-development,Submitted for Review,2023-03-03T14:23:24.739Z
Aspire Roofing,surefire-local,aspire-roofing-sdsr8,Cancelled,2023-03-14T18:50:47.141Z
Atlanta Metro Roofing,surefire-local,atlanta-metro-roofing-xg6j9,Live,2022-11-03T21:27:03.611Z
Atlantic-Air Inc.,surefire-local,atlantic-air-inc,Ready for Install,2022-11-30T16:19:27.334Z
Atlantic Forced Entry & Solar Protection,surefire-local,atlantic-forced-entry-and-solar-protection,Ready for Install,2022-11-30T16:19:32.564Z
Atoz Air Conditioning & Refrigeration Services,surefire-local,atoz-air-conditioning-and-refrigeration-services,Live,2022-12-20T15:49:36.560Z
ATX Smart Homes,surefire-local,atx-smart-homes,Live,2022-12-20T15:49:43.739Z
Aultman Roofing,surefire-local,aultman-roofing,Ready for Install,2022-12-14T15:17:12.287Z
Austin Climate Control LLC ,surefire-local,austin-climate-control-llc,Cancelled,2023-03-14T19:22:52.575Z
"Autumn Sky Landscaping, Contracting & Roofing",surefire-local,autumn-sky-landscaping-contracting-and-roofing,Ready for Install,2023-03-08T20:42:39.104Z
Awning Pros,surefire-local,awning-pros,Live,2022-12-20T15:50:34.840Z
AYR Restoration Services,surefire-local,ayr-restoration-services,Ready for Install,2022-11-30T16:19:49.312Z
B & Z Heating & Air Inc,surefire-local,b-and-z-heating-and-air-inc,Cancelled,2023-03-14T19:31:11.635Z
Bajrami Construction,surefire-local,bajrami-construction,Ready for Install,2022-11-30T16:19:59.605Z
Baldpates General Contracting,surefire-local,baldpates-general-contracting,Ready for Install,2022-11-30T16:21:31.819Z
Bando Performance,surefire-local,bando-performance,Ready for Install,2023-03-08T20:06:03.657Z
Barnett Roofing,surefire-local,barnett-roofing,Live,2022-11-30T16:21:59.876Z
Barringer Brothers Roofing,surefire-local,barringer-brothers-roofing-nuck7,Live,2022-11-30T16:22:05.138Z
"Bartlett Contracting, LLC",surefire-local,bartlett-contracting-llc,Ready for Install,2023-02-17T18:38:53.866Z
Bastion Construction LLC,surefire-local,bastion-construction-llc,Live,2023-02-28T15:09:05.570Z
Bath Planet Central Texas,surefire-local,bath-planet-central-texas,Live,2022-12-30T04:39:58.560Z
Bay Valley Contractors,surefire-local,bay-valley-contractors,Cancelled,2023-03-14T19:32:34.140Z
"BAYHILL HEAT & AIR, INC",surefire-local,bayhill-heat-and-air-inc,Ready for Install,2022-11-30T16:22:24.587Z
"Bayside Designs & Improvements, LLC",surefire-local,bayside-designs-and-improvements-llc,Live,2022-11-30T16:22:29.611Z
Bayside Roofing,surefire-local,bayside-roofing,Submitted for Review,2023-03-09T18:53:38.831Z
