Name,organizationId,appId,Link,Status,Status Time
102.9 Cat Country,Cumulus-Media,1029-cat-country,https://studio.xapp.ai/Cumulus-Media/1029-cat-country,Live,2021-09-15T21:48:09.868Z
103-3 Country.,Cumulus-Media,103-3-country,https://studio.xapp.ai/Cumulus-Media/103-3-country,Live,2020-05-28T18:39:24.449Z
103.3 Ed-FM,Cumulus-Media,1033-ed-fm,https://studio.xapp.ai/Cumulus-Media/1033-ed-fm,Live,2017-09-29T18:33:37.653Z
103.3 KRUZ,Cumulus-Media,1033-kruz,https://studio.xapp.ai/Cumulus-Media/1033-kruz,Incomplete,2020-11-17T21:31:14.270Z
103.3 The Edge,Cumulus-Media,1033-the-edge,https://studio.xapp.ai/Cumulus-Media/1033-the-edge,Live,2017-09-29T18:23:10.318Z
103.3 The Vibe,Cumulus-Media,1033-the-vibe,https://studio.xapp.ai/Cumulus-Media/1033-the-vibe,Live,2017-09-29T18:49:46.980Z
103.5 WGRR,Cumulus-Media,1035-wgrr,https://studio.xapp.ai/Cumulus-Media/1035-wgrr,Live,2018-08-13T13:24:57.269Z
103.5 WRBO,Cumulus-Media,1035-wrbo,https://studio.xapp.ai/Cumulus-Media/1035-wrbo,Live,2017-09-29T18:43:38.336Z
103.9 WVBO,Cumulus-Media,1039-wvbo,https://studio.xapp.ai/Cumulus-Media/1039-wvbo,Live,2017-09-29T18:59:01.171Z
104.1 KRBE,Cumulus-Media,1041-krbe,https://studio.xapp.ai/Cumulus-Media/1041-krbe,Live,2017-09-29T18:45:02.388Z
104.1 The Hawk,Cumulus-Media,1041-the-hawk,https://studio.xapp.ai/Cumulus-Media/1041-the-hawk,Live,2017-09-29T18:45:39.001Z
104.1 WDLT,Cumulus-Media,1041-wdlt,https://studio.xapp.ai/Cumulus-Media/1041-wdlt,Live,2017-09-29T18:48:20.524Z
104.3 The Vibe,Cumulus-Media,1043-the-vibe,https://studio.xapp.ai/Cumulus-Media/1043-the-vibe,Live,2017-09-29T18:33:32.200Z
104.3 ZYP,Cumulus-Media,1043-zyp,https://studio.xapp.ai/Cumulus-Media/1043-zyp,Live,2017-09-29T18:56:16.659Z
104.5 WJJK,Cumulus-Media,1045-wjjk,https://studio.xapp.ai/Cumulus-Media/1045-wjjk,Live,2017-09-29T18:59:15.908Z
104.5 WXLO,Cumulus-Media,1045-wxlo,https://studio.xapp.ai/Cumulus-Media/1045-wxlo,Live,2017-09-29T18:51:48.978Z
104.5 XLO,Cumulus-Media,1045-xlo,https://studio.xapp.ai/Cumulus-Media/1045-xlo,Live,2019-05-29T13:43:13.281Z
104.7 The Bear,Cumulus-Media,1047-the-bear,https://studio.xapp.ai/Cumulus-Media/1047-the-bear,Live,2017-09-29T18:24:09.190Z
105 The Vibe,Cumulus-Media,105-the-vibe,https://studio.xapp.ai/Cumulus-Media/105-the-vibe,Live,2017-09-29T18:46:52.481Z
1050 KTBL AM,Cumulus-Media,1050-ktbl-am,https://studio.xapp.ai/Cumulus-Media/1050-ktbl-am,Archived,2020-02-20T15:54:20.769Z
1051 The X,Cumulus-Media,1051-the-x,https://studio.xapp.ai/Cumulus-Media/1051-the-x,Live,2019-10-14T14:08:51.061Z
105.3 HOT-FM,Cumulus-Media,1053-hot-fm,https://studio.xapp.ai/Cumulus-Media/1053-hot-fm,Live,2017-09-29T18:57:42.512Z
